"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","departureTimeZulu","departureTimeLocal","departureTimeDayOfWeek","flightNumber"
"2024-09-05T03:00:27.634Z","Phuket","HKT","Singapore","SIN","2024-09-05T03:00:00.000Z","05/09/2024, 10:00:00",4,"SQ725"
"2024-09-05T03:00:27.850Z","Phuket","HKT","Bangkok","BKK","2024-09-05T03:15:00.000Z","05/09/2024, 10:15:00",4,"TG202"
"2024-09-05T03:00:28.065Z","Phuket","HKT","Bangkok","BKK","2024-09-05T03:15:00.000Z","05/09/2024, 10:15:00",4,"FD4125"
"2024-09-05T03:00:28.303Z","Phuket","HKT","Moscow","SVO","2024-09-05T03:35:00.000Z","05/09/2024, 10:35:00",4,"SU275"
"2024-09-05T03:00:28.496Z","Phuket","HKT","Ko Samui (Ko Samui)","USM","2024-09-05T04:00:00.000Z","05/09/2024, 11:00:00",4,"PG250"
"2024-09-05T03:00:28.520Z","Phuket","HKT","Hong Kong","HKG","2024-09-05T04:15:00.000Z","05/09/2024, 11:15:00",4,"UO761"
"2024-09-05T03:00:28.711Z","Phuket","HKT","Muscat","MCT","2024-09-05T04:20:00.000Z","05/09/2024, 11:20:00",4,"OV482"
"2024-09-05T03:00:28.731Z","Phuket","HKT","Bangkok","DMK","2024-09-05T04:25:00.000Z","05/09/2024, 11:25:00",4,"DD523"
"2024-09-05T03:00:28.737Z","Phuket","HKT","Bangkok","BKK","2024-09-05T04:40:00.000Z","05/09/2024, 11:40:00",4,"FD9161"
"2024-09-05T03:00:28.938Z","Phuket","HKT","Bangkok","BKK","2024-09-05T04:40:00.000Z","05/09/2024, 11:40:00",4,"TG286"
"2024-09-05T03:00:29.597Z","Phuket","HKT","Mumbai","BOM","2024-09-05T04:05:00.000Z","05/09/2024, 11:05:00",4,"6E1072"
"2024-09-05T03:00:28.280Z","Phuket","HKT","Sepang","KUL","2024-09-05T03:30:00.000Z","05/09/2024, 10:30:00",4,"MH787"
"2024-09-05T03:00:29.180Z","Phuket","HKT","Bangkok","BKK","2024-09-05T03:20:00.000Z","05/09/2024, 10:20:00",4,"PG272"
"2024-09-05T03:00:42.733Z","Phuket","HKT","Ho Chi Minh City","SGN","2024-09-05T04:55:00.000Z","05/09/2024, 11:55:00",4,"VJ808"
"2024-09-05T03:00:42.735Z","Phuket","HKT","Bangkok","DMK","2024-09-05T05:15:00.000Z","05/09/2024, 12:15:00",4,"SL771"
"2024-09-05T03:00:42.739Z","Phuket","HKT","Bangkok","BKK","2024-09-05T05:20:00.000Z","05/09/2024, 12:20:00",4,"VZ305"
"2024-09-05T03:00:42.736Z","Phuket","HKT","Singapore","SIN","2024-09-05T04:40:00.000Z","05/09/2024, 11:40:00",4,"SQ727"
"2024-09-05T03:00:42.738Z","Phuket","HKT","Sepang","KUL","2024-09-05T05:00:00.000Z","05/09/2024, 12:00:00",4,"AK833"
"2024-09-05T03:00:42.740Z","Phuket","HKT","Bangalore","BLR","2024-09-05T05:15:00.000Z","05/09/2024, 12:15:00",4,"6E1078"
"2024-09-05T03:00:42.739Z","Phuket","HKT","Hong Kong","HKG","2024-09-05T04:50:00.000Z","05/09/2024, 11:50:00",4,"CX770"
"2024-09-05T03:00:42.945Z","Phuket","HKT","Ko Samui (Ko Samui)","USM","2024-09-05T06:00:00.000Z","05/09/2024, 13:00:00",4,"PG254"
"2024-09-05T03:00:42.961Z","Phuket","HKT","New Delhi","DEL","2024-09-05T06:30:00.000Z","05/09/2024, 13:30:00",4,"6E1074"
"2024-09-05T03:00:42.964Z","Phuket","HKT","Sepang","KUL","2024-09-05T06:35:00.000Z","05/09/2024, 13:35:00",4,"AK825"
"2024-09-05T03:00:42.962Z","Phuket","HKT","Bangkok","DMK","2024-09-05T06:25:00.000Z","05/09/2024, 13:25:00",4,"FD3026"
"2024-09-05T03:00:42.963Z","Phuket","HKT","Sepang","KUL","2024-09-05T06:15:00.000Z","05/09/2024, 13:15:00",4,"OD541"
"2024-09-05T03:00:42.965Z","Phuket","HKT","Bangkok","BKK","2024-09-05T06:30:00.000Z","05/09/2024, 13:30:00",4,"VZ2303"
"2024-09-05T03:00:43.826Z","Phuket","HKT","Bangkok","BKK","2024-09-05T06:00:00.000Z","05/09/2024, 13:00:00",4,"TG204"
"2024-09-05T03:00:43.880Z","Phuket","HKT","Bangkok","BKK","2024-09-05T05:45:00.000Z","05/09/2024, 12:45:00",4,"PG276"
"2024-09-05T03:00:58.177Z","Phuket","HKT","Bangkok","BKK","2024-09-05T07:45:00.000Z","05/09/2024, 14:45:00",4,"PG274"
"2024-09-05T03:00:58.175Z","Phuket","HKT","Ko Samui (Ko Samui)","USM","2024-09-05T06:45:00.000Z","05/09/2024, 13:45:00",4,"PG406"
"2024-09-05T03:00:58.178Z","Phuket","HKT","Bangkok","DMK","2024-09-05T07:35:00.000Z","05/09/2024, 14:35:00",4,"FD3006"
"2024-09-05T03:00:58.179Z","Phuket","HKT","Chiang Mai","CNX","2024-09-05T06:55:00.000Z","05/09/2024, 13:55:00",4,"FD3159"
"2024-09-05T03:00:58.179Z","Phuket","HKT","Shanghai","PVG","2024-09-05T06:40:00.000Z","05/09/2024, 13:40:00",4,"9C8522"
"2024-09-05T03:00:58.180Z","Phuket","HKT","Sepang","KUL","2024-09-05T07:05:00.000Z","05/09/2024, 14:05:00",4,"MH795"
"2024-09-05T03:00:58.181Z","Phuket","HKT","Bangkok","BKK","2024-09-05T07:30:00.000Z","05/09/2024, 14:30:00",4,"FD4111"
"2024-09-05T03:00:58.182Z","Phuket","HKT","Bangkok","DMK","2024-09-05T07:55:00.000Z","05/09/2024, 14:55:00",4,"SL757"
"2024-09-05T03:00:58.183Z","Phuket","HKT","Perth","PER","2024-09-05T07:45:00.000Z","05/09/2024, 14:45:00",4,"JQ72"
"2024-09-05T03:00:58.386Z","Phuket","HKT","Khon Kaen","KKC","2024-09-05T08:20:00.000Z","05/09/2024, 15:20:00",4,"FD3602"
"2024-09-05T03:00:58.388Z","Phuket","HKT","Bangkok","BKK","2024-09-05T08:40:00.000Z","05/09/2024, 15:40:00",4,"VZ2301"
"2024-09-05T03:00:58.391Z","Phuket","HKT","Ko Samui (Ko Samui)","USM","2024-09-05T09:00:00.000Z","05/09/2024, 16:00:00",4,"PG256"
"2024-09-05T03:00:58.393Z","Phuket","HKT","Singapore","SIN","2024-09-05T09:00:00.000Z","05/09/2024, 16:00:00",4,"3K536"
"2024-09-05T03:00:59.309Z","Phuket","HKT","Singapore","SIN","2024-09-05T08:05:00.000Z","05/09/2024, 15:05:00",4,"SQ731"
"2024-09-05T03:00:59.318Z","Phuket","HKT",,"UTP","2024-09-05T08:10:00.000Z","05/09/2024, 15:10:00",4,"PG282"
"2024-09-05T03:01:13.598Z","Phuket","HKT","Sepang","KUL","2024-09-05T10:10:00.000Z","05/09/2024, 17:10:00",4,"AK827"
"2024-09-05T03:01:13.600Z","Phuket","HKT","Guangzhou","CAN","2024-09-05T09:40:00.000Z","05/09/2024, 16:40:00",4,"CZ6064"
"2024-09-05T03:01:13.599Z","Phuket","HKT","Bangkok","BKK","2024-09-05T10:20:00.000Z","05/09/2024, 17:20:00",4,"VZ307"
"2024-09-05T03:01:13.605Z","Phuket","HKT","Changsha","CSX","2024-09-05T09:00:00.000Z","05/09/2024, 16:00:00",4,"BK2984"
"2024-09-05T03:01:13.601Z","Phuket","HKT","Bangkok","DMK","2024-09-05T09:45:00.000Z","05/09/2024, 16:45:00",4,"DD537"
"2024-09-05T03:01:13.604Z","Phuket","HKT","New Delhi","DEL","2024-09-05T09:40:00.000Z","05/09/2024, 16:40:00",4,"6E1076"
