"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","departureTimeZulu","departureTimeLocal","departureTimeDayOfWeek","flightNumber"
"2024-09-11T03:00:24.125Z","Phuket","HKT","Bangkok","BKK","2024-09-11T03:15:00.000Z","11/09/2024, 10:15:00",3,"TG202"
"2024-09-11T03:00:24.340Z","Phuket","HKT","Almaty","ALA","2024-09-11T03:30:00.000Z","11/09/2024, 10:30:00",3,"KC564"
"2024-09-11T03:00:24.555Z","Phuket","HKT","Sepang","KUL","2024-09-11T03:30:00.000Z","11/09/2024, 10:30:00",3,"MH787"
"2024-09-11T03:00:24.771Z","Phuket","HKT","Moscow","SVO","2024-09-11T03:35:00.000Z","11/09/2024, 10:35:00",3,"SU275"
"2024-09-11T03:00:24.986Z","Phuket","HKT","Mumbai","BOM","2024-09-11T04:05:00.000Z","11/09/2024, 11:05:00",3,"6E1072"
"2024-09-11T03:00:25.201Z","Phuket","HKT","Hong Kong","HKG","2024-09-11T04:15:00.000Z","11/09/2024, 11:15:00",3,"UO761"
"2024-09-11T03:00:25.253Z","Phuket","HKT","Bangkok","BKK","2024-09-11T03:20:00.000Z","11/09/2024, 10:20:00",3,"PG272"
"2024-09-11T03:00:25.297Z","Phuket","HKT","Singapore","SIN","2024-09-11T04:40:00.000Z","11/09/2024, 11:40:00",3,"SQ727"
"2024-09-11T03:00:25.415Z","Phuket","HKT","Bangkok","BKK","2024-09-11T04:40:00.000Z","11/09/2024, 11:40:00",3,"FD9161"
"2024-09-11T03:00:25.477Z","Phuket","HKT","Ho Chi Minh City","SGN","2024-09-11T04:55:00.000Z","11/09/2024, 11:55:00",3,"VJ808"
"2024-09-11T03:00:25.988Z","Phuket","HKT","Ko Samui (Ko Samui)","USM","2024-09-11T04:00:00.000Z","11/09/2024, 11:00:00",3,"PG250"
"2024-09-11T03:00:25.633Z","Phuket","HKT","Bangkok","DMK","2024-09-11T05:15:00.000Z","11/09/2024, 12:15:00",3,"SL771"
"2024-09-11T03:00:26.343Z","Phuket","HKT","Bangkok","BKK","2024-09-11T04:40:00.000Z","11/09/2024, 11:40:00",3,"TG286"
"2024-09-11T03:00:25.084Z","Phuket","HKT","Bangkok","DMK","2024-09-11T04:25:00.000Z","11/09/2024, 11:25:00",3,"DD523"
"2024-09-11T03:00:25.511Z","Phuket","HKT","Sepang","KUL","2024-09-11T05:00:00.000Z","11/09/2024, 12:00:00",3,"AK833"
"2024-09-11T03:00:39.445Z","Phuket","HKT","Bangkok","BKK","2024-09-11T05:45:00.000Z","11/09/2024, 12:45:00",3,"PG276"
"2024-09-11T03:00:39.448Z","Phuket","HKT","Bangalore","BLR","2024-09-11T05:15:00.000Z","11/09/2024, 12:15:00",3,"6E1078"
"2024-09-11T03:00:39.449Z","Phuket","HKT","Bangkok","BKK","2024-09-11T06:00:00.000Z","11/09/2024, 13:00:00",3,"TG204"
"2024-09-11T03:00:39.449Z","Phuket","HKT","Bangkok","BKK","2024-09-11T05:20:00.000Z","11/09/2024, 12:20:00",3,"VZ305"
"2024-09-11T03:00:39.452Z","Phuket","HKT","Bangkok","DMK","2024-09-11T06:25:00.000Z","11/09/2024, 13:25:00",3,"FD3026"
"2024-09-11T03:00:39.453Z","Phuket","HKT","Sepang","KUL","2024-09-11T06:15:00.000Z","11/09/2024, 13:15:00",3,"OD541"
"2024-09-11T03:00:39.453Z","Phuket","HKT","Ko Samui (Ko Samui)","USM","2024-09-11T06:00:00.000Z","11/09/2024, 13:00:00",3,"PG254"
"2024-09-11T03:00:39.661Z","Phuket","HKT","Ko Samui (Ko Samui)","USM","2024-09-11T06:45:00.000Z","11/09/2024, 13:45:00",3,"PG406"
"2024-09-11T03:00:39.662Z","Phuket","HKT","Sepang","KUL","2024-09-11T06:35:00.000Z","11/09/2024, 13:35:00",3,"AK825"
"2024-09-11T03:00:39.663Z","Phuket","HKT","Chengdu","TFU","2024-09-11T07:00:00.000Z","11/09/2024, 14:00:00",3,"CA414"
"2024-09-11T03:00:39.667Z","Phuket","HKT","Sepang","KUL","2024-09-11T07:05:00.000Z","11/09/2024, 14:05:00",3,"MH795"
"2024-09-11T03:00:39.664Z","Phuket","HKT","Chiang Mai","CNX","2024-09-11T06:55:00.000Z","11/09/2024, 13:55:00",3,"FD3159"
"2024-09-11T03:00:39.670Z","Phuket","HKT","Bangkok","BKK","2024-09-11T07:25:00.000Z","11/09/2024, 14:25:00",3,"FD4111"
"2024-09-11T03:00:40.575Z","Phuket","HKT","New Delhi","DEL","2024-09-11T06:30:00.000Z","11/09/2024, 13:30:00",3,"6E1074"
"2024-09-11T03:00:40.594Z","Phuket","HKT","Bangkok","BKK","2024-09-11T06:30:00.000Z","11/09/2024, 13:30:00",3,"VZ2303"
"2024-09-11T03:00:54.908Z","Phuket","HKT","Tel Aviv","TLV","2024-09-11T08:00:00.000Z","11/09/2024, 15:00:00",3,"LY88"
"2024-09-11T03:00:54.910Z","Phuket","HKT","Singapore","SIN","2024-09-11T08:05:00.000Z","11/09/2024, 15:05:00",3,"SQ731"
"2024-09-11T03:00:54.910Z","Phuket","HKT","Bangkok","DMK","2024-09-11T07:55:00.000Z","11/09/2024, 14:55:00",3,"SL757"
"2024-09-11T03:00:54.911Z","Phuket","HKT","George Town","PEN","2024-09-11T07:35:00.000Z","11/09/2024, 14:35:00",3,"FY3601"
"2024-09-11T03:00:54.910Z","Phuket","HKT","Bangkok","BKK","2024-09-11T07:45:00.000Z","11/09/2024, 14:45:00",3,"PG274"
"2024-09-11T03:00:54.913Z","Phuket","HKT","Shanghai","PVG","2024-09-11T06:40:00.000Z","11/09/2024, 13:40:00",3,"9C8522"
"2024-09-11T03:00:54.914Z","Phuket","HKT","Bangkok","DMK","2024-09-11T07:35:00.000Z","11/09/2024, 14:35:00",3,"FD3006"
"2024-09-11T03:00:55.121Z","Phuket","HKT","Hangzhou","HGH","2024-09-11T09:15:00.000Z","11/09/2024, 16:15:00",3,"CA718"
"2024-09-11T03:00:54.914Z","Phuket","HKT","Bangkok","DMK","2024-09-11T08:35:00.000Z","11/09/2024, 15:35:00",3,"DD527"
"2024-09-11T03:00:54.915Z","Phuket","HKT",,"UTP","2024-09-11T08:10:00.000Z","11/09/2024, 15:10:00",3,"PG282"
"2024-09-11T03:00:55.124Z","Phuket","HKT","Bangkok","DMK","2024-09-11T09:40:00.000Z","11/09/2024, 16:40:00",3,"FD3008"
"2024-09-11T03:00:55.122Z","Phuket","HKT","Bangkok","BKK","2024-09-11T09:05:00.000Z","11/09/2024, 16:05:00",3,"TG216"
"2024-09-11T03:00:55.124Z","Phuket","HKT","New Delhi","DEL","2024-09-11T09:40:00.000Z","11/09/2024, 16:40:00",3,"6E1076"
"2024-09-11T03:00:56.067Z","Phuket","HKT","Bangkok","BKK","2024-09-11T08:40:00.000Z","11/09/2024, 15:40:00",3,"VZ2301"
"2024-09-11T03:00:56.068Z","Phuket","HKT","Ko Samui (Ko Samui)","USM","2024-09-11T09:00:00.000Z","11/09/2024, 16:00:00",3,"PG256"
"2024-09-11T03:01:10.260Z","Phuket","HKT","Bangkok","DMK","2024-09-11T10:50:00.000Z","11/09/2024, 17:50:00",3,"SL769"
"2024-09-11T03:01:10.257Z","Phuket","HKT","Shenzhen","SZX","2024-09-11T10:30:00.000Z","11/09/2024, 17:30:00",3,"ZH316"
"2024-09-11T03:01:10.259Z","Phuket","HKT","Sepang","KUL","2024-09-11T10:10:00.000Z","11/09/2024, 17:10:00",3,"AK827"
"2024-09-11T03:01:10.263Z","Phuket","HKT","Bangkok","BKK","2024-09-11T10:20:00.000Z","11/09/2024, 17:20:00",3,"VZ307"
"2024-09-11T03:01:10.263Z","Phuket","HKT","Bangkok","DMK","2024-09-11T11:25:00.000Z","11/09/2024, 18:25:00",3,"FD3022"
"2024-09-11T03:01:10.261Z","Phuket","HKT","Singapore","SIN","2024-09-11T11:00:00.000Z","11/09/2024, 18:00:00",3,"SQ735"
"2024-09-11T03:01:10.260Z","Phuket","HKT","Singapore","SIN","2024-09-11T11:40:00.000Z","11/09/2024, 18:40:00",3,"3K536"
"2024-09-11T03:01:10.261Z","Phuket","HKT","Hong Kong","HKG","2024-09-11T11:30:00.000Z","11/09/2024, 18:30:00",3,"CX778"
"2024-09-11T03:01:10.259Z","Phuket","HKT","Ko Samui (Ko Samui)","USM","2024-09-11T10:05:00.000Z","11/09/2024, 17:05:00",3,"PG402"
"2024-09-11T03:01:10.264Z","Phuket","HKT","Bangkok","BKK","2024-09-11T09:55:00.000Z","11/09/2024, 16:55:00",3,"TG284"
"2024-09-11T03:01:10.265Z","Phuket","HKT","Guangzhou","CAN","2024-09-11T09:40:00.000Z","11/09/2024, 16:40:00",3,"CZ6064"
"2024-09-11T03:01:10.470Z","Phuket","HKT","Sepang","KUL","2024-09-11T12:10:00.000Z","11/09/2024, 19:10:00",3,"OD543"
"2024-09-11T03:01:10.472Z","Phuket","HKT","Bangkok","BKK","2024-09-11T12:10:00.000Z","11/09/2024, 19:10:00",3,"PG278"
"2024-09-11T03:01:11.380Z","Phuket","HKT","Shanghai","PVG","2024-09-11T11:55:00.000Z","11/09/2024, 18:55:00",3,"FM860"
"2024-09-11T03:01:11.388Z","Phuket","HKT","Singapore","SIN","2024-09-11T12:05:00.000Z","11/09/2024, 19:05:00",3,"TR653"
"2024-09-11T03:01:25.592Z","Phuket","HKT","Chengdu","TFU","2024-09-11T12:25:00.000Z","11/09/2024, 19:25:00",3,"MU574"
"2024-09-11T03:01:25.594Z","Phuket","HKT","Beijing","PEK","2024-09-11T12:30:00.000Z","11/09/2024, 19:30:00",3,"CA822"
"2024-09-11T03:01:25.596Z","Phuket","HKT","Chengdu","TFU","2024-09-11T12:30:00.000Z","11/09/2024, 19:30:00",3,"3U3932"
"2024-09-11T03:01:25.596Z","Phuket","HKT","Ko Samui (Ko Samui)","USM","2024-09-11T12:30:00.000Z","11/09/2024, 19:30:00",3,"PG258"
"2024-09-11T03:01:25.597Z","Phuket","HKT","Sepang","KUL","2024-09-11T12:20:00.000Z","11/09/2024, 19:20:00",3,"AK821"
"2024-09-11T03:01:25.602Z","Phuket","HKT","Chongqing","CKG","2024-09-11T13:15:00.000Z","11/09/2024, 20:15:00",3,"3U3706"
"2024-09-11T03:01:25.600Z","Phuket","HKT","Doha","DOH","2024-09-11T13:30:00.000Z","11/09/2024, 20:30:00",3,"QR847"
"2024-09-11T03:01:25.601Z","Phuket","HKT","Abu Dhabi","AUH","2024-09-11T13:55:00.000Z","11/09/2024, 20:55:00",3,"EY431"
