"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","arrivalTimeZulu","arrivalTimeLocal","arrivalTimeDayOfWeek","flightNumber"
"2024-09-11T03:02:12.240Z","Bangkok","BKK","Phuket","HKT","2024-09-11T04:50:00.000Z","11/09/2024, 11:50:00",3,"VZ304"
"2024-09-11T03:02:12.241Z","Irkutsk","IKT","Phuket","HKT","2024-09-11T03:50:00.000Z","11/09/2024, 10:50:00",3,"SU660"
"2024-09-11T03:02:12.243Z","Bangkok","DMK","Phuket","HKT","2024-09-11T04:35:00.000Z","11/09/2024, 11:35:00",3,"SL770"
"2024-09-11T03:02:12.242Z","Bangkok","BKK","Phuket","HKT","2024-09-11T05:20:00.000Z","11/09/2024, 12:20:00",3,"TG203"
"2024-09-11T03:02:27.702Z","Ko Samui (Ko Samui)","USM","Phuket","HKT","2024-09-11T06:10:00.000Z","11/09/2024, 13:10:00",3,"PG405"
"2024-09-11T03:02:27.709Z","Ko Samui (Ko Samui)","USM","Phuket","HKT","2024-09-11T05:25:00.000Z","11/09/2024, 12:25:00",3,"PG253"
"2024-09-11T03:02:27.709Z","Bangkok","BKK","Phuket","HKT","2024-09-11T06:55:00.000Z","11/09/2024, 13:55:00",3,"FD4110"
"2024-09-11T03:02:27.711Z","George Town","PEN","Phuket","HKT","2024-09-11T06:55:00.000Z","11/09/2024, 13:55:00",3,"FY3600"
"2024-09-11T03:02:27.710Z","Bangkok","DMK","Phuket","HKT","2024-09-11T07:05:00.000Z","11/09/2024, 14:05:00",3,"FD3005"
"2024-09-11T03:02:27.712Z","Sepang","KUL","Phuket","HKT","2024-09-11T06:00:00.000Z","11/09/2024, 13:00:00",3,"AK824"
"2024-09-11T03:02:27.705Z","Bangkok","BKK","Phuket","HKT","2024-09-11T07:00:00.000Z","11/09/2024, 14:00:00",3,"PG273"
"2024-09-11T03:02:27.707Z","Bangkok","DMK","Phuket","HKT","2024-09-11T05:35:00.000Z","11/09/2024, 12:35:00",3,"FD3025"
"2024-09-11T03:02:27.706Z","Sepang","KUL","Phuket","HKT","2024-09-11T06:20:00.000Z","11/09/2024, 13:20:00",3,"MH794"
"2024-09-11T03:02:27.703Z","Sepang","KUL","Phuket","HKT","2024-09-11T05:30:00.000Z","11/09/2024, 12:30:00",3,"OD540"
"2024-09-11T03:02:27.704Z","Bangkok","BKK","Phuket","HKT","2024-09-11T05:05:00.000Z","11/09/2024, 12:05:00",3,"PG275"
"2024-09-11T03:02:27.708Z","Chiang Mai","CNX","Phuket","HKT","2024-09-11T06:25:00.000Z","11/09/2024, 13:25:00",3,"FD3160"
"2024-09-11T03:02:27.708Z","Chiang Mai","CNX","Phuket","HKT","2024-09-11T05:55:00.000Z","11/09/2024, 12:55:00",3,"VZ414"
"2024-09-11T03:02:43.117Z","Bangkok","BKK","Phuket","HKT","2024-09-11T07:55:00.000Z","11/09/2024, 14:55:00",3,"VZ2300"
"2024-09-11T03:02:43.119Z",,"UTP","Phuket","HKT","2024-09-11T07:40:00.000Z","11/09/2024, 14:40:00",3,"PG281"
"2024-09-11T03:02:43.120Z","Shenzhen","SZX","Phuket","HKT","2024-09-11T09:25:00.000Z","11/09/2024, 16:25:00",3,"ZH315"
"2024-09-11T03:02:43.121Z","Bangkok","DMK","Phuket","HKT","2024-09-11T08:05:00.000Z","11/09/2024, 15:05:00",3,"DD526"
"2024-09-11T03:02:43.123Z","Guangzhou","CAN","Phuket","HKT","2024-09-11T08:40:00.000Z","11/09/2024, 15:40:00",3,"CZ6063"
"2024-09-11T03:02:43.126Z","Bangkok","BKK","Phuket","HKT","2024-09-11T09:15:00.000Z","11/09/2024, 16:15:00",3,"TG283"
"2024-09-11T03:02:43.126Z","Ko Samui (Ko Samui)","USM","Phuket","HKT","2024-09-11T08:30:00.000Z","11/09/2024, 15:30:00",3,"PG255"
"2024-09-11T03:02:43.124Z","Bangkok","DMK","Phuket","HKT","2024-09-11T07:15:00.000Z","11/09/2024, 14:15:00",3,"SL756"
"2024-09-11T03:02:43.125Z","Novosibirsk","OVB","Phuket","HKT","2024-09-11T08:55:00.000Z","11/09/2024, 15:55:00",3,"SU636"
"2024-09-11T03:02:43.128Z","New Delhi","DEL","Phuket","HKT","2024-09-11T08:40:00.000Z","11/09/2024, 15:40:00",3,"6E1075"
"2024-09-11T03:02:43.127Z","Singapore","SIN","Phuket","HKT","2024-09-11T07:10:00.000Z","11/09/2024, 14:10:00",3,"SQ732"
"2024-09-11T03:02:43.128Z","Bangkok","BKK","Phuket","HKT","2024-09-11T08:25:00.000Z","11/09/2024, 15:25:00",3,"TG215"
"2024-09-11T03:02:43.127Z","Bangkok","DMK","Phuket","HKT","2024-09-11T09:10:00.000Z","11/09/2024, 16:10:00",3,"FD3007"
"2024-09-11T03:02:58.414Z","Singapore","SIN","Phuket","HKT","2024-09-11T11:05:00.000Z","11/09/2024, 18:05:00",3,"TR652"
"2024-09-11T03:02:58.417Z","Bangkok","DMK","Phuket","HKT","2024-09-11T10:55:00.000Z","11/09/2024, 17:55:00",3,"FD3021"
"2024-09-11T03:02:58.416Z","Hong Kong","HKG","Phuket","HKT","2024-09-11T10:30:00.000Z","11/09/2024, 17:30:00",3,"CX773"
"2024-09-11T03:02:58.418Z","Sepang","KUL","Phuket","HKT","2024-09-11T11:20:00.000Z","11/09/2024, 18:20:00",3,"OD542"
"2024-09-11T03:02:58.424Z","Singapore","SIN","Phuket","HKT","2024-09-11T10:10:00.000Z","11/09/2024, 17:10:00",3,"SQ736"
"2024-09-11T03:02:58.417Z","Bangkok","DMK","Phuket","HKT","2024-09-11T10:10:00.000Z","11/09/2024, 17:10:00",3,"SL768"
"2024-09-11T03:02:58.420Z","Shanghai","PVG","Phuket","HKT","2024-09-11T10:30:00.000Z","11/09/2024, 17:30:00",3,"FM859"
"2024-09-11T03:02:58.420Z","Chengdu","TFU","Phuket","HKT","2024-09-11T11:00:00.000Z","11/09/2024, 18:00:00",3,"3U3931"
"2024-09-11T03:02:58.423Z","Bangkok","BKK","Phuket","HKT","2024-09-11T09:50:00.000Z","11/09/2024, 16:50:00",3,"VZ306"
"2024-09-11T03:02:58.422Z","Chengdu","TFU","Phuket","HKT","2024-09-11T11:25:00.000Z","11/09/2024, 18:25:00",3,"MU573"
"2024-09-11T03:02:58.421Z","Sepang","KUL","Phuket","HKT","2024-09-11T09:35:00.000Z","11/09/2024, 16:35:00",3,"AK826"
"2024-09-11T03:02:58.424Z","Chiang Mai","CNX","Phuket","HKT","2024-09-11T10:30:00.000Z","11/09/2024, 17:30:00",3,"FD3162"
"2024-09-11T03:02:58.420Z","Beijing","PEK","Phuket","HKT","2024-09-11T10:45:00.000Z","11/09/2024, 17:45:00",3,"CA821"
"2024-09-11T03:02:58.416Z","Singapore","SIN","Phuket","HKT","2024-09-11T11:00:00.000Z","11/09/2024, 18:00:00",3,"3K535"
"2024-09-11T03:02:58.419Z","Ko Samui (Ko Samui)","USM","Phuket","HKT","2024-09-11T09:25:00.000Z","11/09/2024, 16:25:00",3,"PG259"
"2024-09-11T03:03:13.799Z","Ko Samui (Ko Samui)","USM","Phuket","HKT","2024-09-11T11:55:00.000Z","11/09/2024, 18:55:00",3,"PG257"
"2024-09-11T03:03:13.800Z","Chongqing","CKG","Phuket","HKT","2024-09-11T12:15:00.000Z","11/09/2024, 19:15:00",3,"3U3705"
"2024-09-11T03:03:13.803Z","Ko Samui (Ko Samui)","USM","Phuket","HKT","2024-09-11T13:00:00.000Z","11/09/2024, 20:00:00",3,"PG401"
"2024-09-11T03:03:13.801Z","Dubai","DXB","Phuket","HKT","2024-09-11T13:00:00.000Z","11/09/2024, 20:00:00",3,"EK396"
"2024-09-11T03:03:13.805Z","Bangkok","DMK","Phuket","HKT","2024-09-11T13:15:00.000Z","11/09/2024, 20:15:00",3,"DD5340"
"2024-09-11T03:03:13.803Z","Doha","DOH","Phuket","HKT","2024-09-11T11:50:00.000Z","11/09/2024, 18:50:00",3,"QR846"
"2024-09-11T03:03:13.802Z","Shanghai","PVG","Phuket","HKT","2024-09-11T12:55:00.000Z","11/09/2024, 19:55:00",3,"9C8667"
"2024-09-11T03:03:13.805Z","Singapore","SIN","Phuket","HKT","2024-09-11T12:20:00.000Z","11/09/2024, 19:20:00",3,"SQ740"
"2024-09-11T03:03:13.802Z","Abu Dhabi","AUH","Phuket","HKT","2024-09-11T11:30:00.000Z","11/09/2024, 18:30:00",3,"EY432"
"2024-09-11T03:03:13.807Z","Sepang","KUL","Phuket","HKT","2024-09-11T11:50:00.000Z","11/09/2024, 18:50:00",3,"AK820"
"2024-09-11T03:03:13.806Z","Bangkok","BKK","Phuket","HKT","2024-09-11T12:00:00.000Z","11/09/2024, 19:00:00",3,"TG217"
"2024-09-11T03:03:13.808Z","Bangkok","BKK","Phuket","HKT","2024-09-11T11:30:00.000Z","11/09/2024, 18:30:00",3,"PG277"
"2024-09-11T03:03:13.807Z","Bangkok","DMK","Phuket","HKT","2024-09-11T13:25:00.000Z","11/09/2024, 20:25:00",3,"FD3009"
"2024-09-11T03:03:13.809Z","Abu Dhabi","AUH","Phuket","HKT","2024-09-11T11:30:00.000Z","11/09/2024, 18:30:00",3,"EY432"
"2024-09-11T03:03:13.808Z","Bangkok","BKK","Phuket","HKT","2024-09-11T13:40:00.000Z","11/09/2024, 20:40:00",3,"TG211"
"2024-09-11T03:03:29.212Z","Seoul (Incheon)","ICN","Phuket","HKT","2024-09-11T14:45:00.000Z","11/09/2024, 21:45:00",3,"LJ5"
"2024-09-11T03:03:29.213Z","Hong Kong","HKG","Phuket","HKT","2024-09-11T15:45:00.000Z","11/09/2024, 22:45:00",3,"UO764"
"2024-09-11T03:03:29.215Z","Bangkok","BKK","Phuket","HKT","2024-09-11T14:45:00.000Z","11/09/2024, 21:45:00",3,"FD4112"
"2024-09-11T03:03:29.217Z","Shanghai","PVG","Phuket","HKT","2024-09-11T15:30:00.000Z","11/09/2024, 22:30:00",3,"HO1369"
"2024-09-11T03:03:29.218Z","Bangkok","BKK","Phuket","HKT","2024-09-11T14:10:00.000Z","11/09/2024, 21:10:00",3,"PG279"
"2024-09-11T03:03:29.217Z","Bangkok","DMK","Phuket","HKT","2024-09-11T13:40:00.000Z","11/09/2024, 20:40:00",3,"DD530"
"2024-09-11T03:03:29.219Z","Seoul (Incheon)","ICN","Phuket","HKT","2024-09-11T15:00:00.000Z","11/09/2024, 22:00:00",3,"KE663"
"2024-09-11T03:03:29.216Z","Sydney","SYD","Phuket","HKT","2024-09-11T13:40:00.000Z","11/09/2024, 20:40:00",3,"JQ27"
"2024-09-11T03:03:29.215Z","Mumbai","BOM","Phuket","HKT","2024-09-11T16:05:00.000Z","11/09/2024, 23:05:00",3,"6E1911"
"2024-09-11T03:03:29.220Z","Bangkok","BKK","Phuket","HKT","2024-09-11T14:00:00.000Z","11/09/2024, 21:00:00",3,"VZ308"
"2024-09-11T03:03:29.216Z","Bangkok","DMK","Phuket","HKT","2024-09-11T14:25:00.000Z","11/09/2024, 21:25:00",3,"SL762"
"2024-09-11T03:03:29.221Z","Sepang","KUL","Phuket","HKT","2024-09-11T14:05:00.000Z","11/09/2024, 21:05:00",3,"AK822"
"2024-09-11T03:03:29.221Z","Singapore","SIN","Phuket","HKT","2024-09-11T13:40:00.000Z","11/09/2024, 20:40:00",3,"3K537"
"2024-09-11T03:03:29.219Z","Shanghai","PVG","Phuket","HKT","2024-09-11T15:20:00.000Z","11/09/2024, 22:20:00",3,"FM831"
"2024-09-11T03:03:29.222Z","Bangkok","DMK","Phuket","HKT","2024-09-11T14:55:00.000Z","11/09/2024, 21:55:00",3,"FD3013"
"2024-09-11T03:03:44.665Z","Singapore","SIN","Phuket","HKT","2024-09-12T01:20:00.000Z","12/09/2024, 08:20:00",4,"TR658"
"2024-09-11T03:03:44.668Z","Sharjah","SHJ","Phuket","HKT","2024-09-12T00:55:00.000Z","12/09/2024, 07:55:00",4,"G9687"
"2024-09-11T03:03:44.668Z","Bangkok","DMK","Phuket","HKT","2024-09-12T00:45:00.000Z","12/09/2024, 07:45:00",4,"FD3001"
"2024-09-11T03:03:44.667Z","Guangzhou","CAN","Phuket","HKT","2024-09-12T01:00:00.000Z","12/09/2024, 08:00:00",4,"9C8771"
"2024-09-11T03:03:44.667Z","Doha","DOH","Phuket","HKT","2024-09-12T00:35:00.000Z","12/09/2024, 07:35:00",4,"QR842"
"2024-09-11T03:03:44.670Z","Bangkok","BKK","Phuket","HKT","2024-09-11T16:15:00.000Z","11/09/2024, 23:15:00",3,"VZ316"
"2024-09-11T03:03:44.670Z","Nanjing","NKG","Phuket","HKT","2024-09-11T16:05:00.000Z","11/09/2024, 23:05:00",3,"MU2813"
"2024-09-11T03:03:44.669Z","New Delhi","DEL","Phuket","HKT","2024-09-12T01:10:00.000Z","12/09/2024, 08:10:00",4,"AI378"
"2024-09-11T03:03:44.674Z","Xi'an","XIY","Phuket","HKT","2024-09-11T16:05:00.000Z","11/09/2024, 23:05:00",3,"MU2081"
"2024-09-11T03:03:44.669Z","Sepang","KUL","Phuket","HKT","2024-09-12T00:55:00.000Z","12/09/2024, 07:55:00",4,"AK828"
"2024-09-11T03:03:44.673Z","Abu Dhabi","AUH","Phuket","HKT","2024-09-12T00:40:00.000Z","12/09/2024, 07:40:00",4,"EY430"
"2024-09-11T03:03:44.674Z","Bangkok","BKK","Phuket","HKT","2024-09-11T16:45:00.000Z","11/09/2024, 23:45:00",3,"VZ312"
"2024-09-11T03:03:44.673Z","Bangkok","BKK","Phuket","HKT","2024-09-11T16:59:00.000Z","11/09/2024, 23:59:00",3,"TG225"
"2024-09-11T03:03:44.672Z","Moscow","SVO","Phuket","HKT","2024-09-12T01:30:00.000Z","12/09/2024, 08:30:00",4,"SU274"
"2024-09-11T03:03:44.672Z","Chengdu","TFU","Phuket","HKT","2024-09-12T01:05:00.000Z","12/09/2024, 08:05:00",4,"DD3141"
"2024-09-11T03:04:00.107Z","Ko Samui (Ko Samui)","USM","Phuket","HKT","2024-09-12T02:00:00.000Z","12/09/2024, 09:00:00",4,"PG251"
"2024-09-11T03:04:00.108Z","Hong Kong","HKG","Phuket","HKT","2024-09-12T03:30:00.000Z","12/09/2024, 10:30:00",4,"UO762"
"2024-09-11T03:04:00.109Z","Sepang","KUL","Phuket","HKT","2024-09-12T02:45:00.000Z","12/09/2024, 09:45:00",4,"MH786"
"2024-09-11T03:04:00.110Z","Bangkok","BKK","Phuket","HKT","2024-09-12T02:35:00.000Z","12/09/2024, 09:35:00",4,"TG201"
"2024-09-11T03:04:00.111Z","Hong Kong","HKG","Phuket","HKT","2024-09-12T03:50:00.000Z","12/09/2024, 10:50:00",4,"CX771"
"2024-09-11T03:04:00.111Z","Mumbai","BOM","Phuket","HKT","2024-09-12T03:05:00.000Z","12/09/2024, 10:05:00",4,"6E1071"
"2024-09-11T03:04:00.112Z","Bangkok","BKK","Phuket","HKT","2024-09-12T02:30:00.000Z","12/09/2024, 09:30:00",4,"PG271"
"2024-09-11T03:04:00.112Z","Bangkok","DMK","Phuket","HKT","2024-09-12T02:00:00.000Z","12/09/2024, 09:00:00",4,"FD3029"
"2024-09-11T03:04:00.113Z","Hat Yai / Songkhla","HDY","Phuket","HKT","2024-09-12T03:15:00.000Z","12/09/2024, 10:15:00",4,"PG299"
"2024-09-11T03:04:00.114Z","Singapore","SIN","Phuket","HKT","2024-09-12T02:10:00.000Z","12/09/2024, 09:10:00",4,"SQ726"
"2024-09-11T03:04:00.115Z","Muscat","MCT","Phuket","HKT","2024-09-12T03:20:00.000Z","12/09/2024, 10:20:00",4,"OV481"
"2024-09-11T03:04:00.117Z","Bangkok","BKK","Phuket","HKT","2024-09-12T01:30:00.000Z","12/09/2024, 08:30:00",4,"VZ314"
"2024-09-11T03:04:00.117Z","Chongqing","CKG","Phuket","HKT","2024-09-12T01:55:00.000Z","12/09/2024, 08:55:00",4,"3U3791"
"2024-09-11T03:04:00.116Z","Bangkok","BKK","Phuket","HKT","2024-09-12T02:00:00.000Z","12/09/2024, 09:00:00",4,"TG289"
"2024-09-11T03:04:00.116Z","Bangkok","DMK","Phuket","HKT","2024-09-12T01:40:00.000Z","12/09/2024, 08:40:00",4,"SL750"
"2024-09-11T03:04:15.384Z","Perth","PER","Phuket","HKT","2024-09-12T06:30:00.000Z","12/09/2024, 13:30:00",4,"JQ71"
"2024-09-11T03:04:15.383Z","Bangkok","BKK","Phuket","HKT","2024-09-12T04:00:00.000Z","12/09/2024, 11:00:00",4,"TG285"
"2024-09-11T03:04:15.385Z","Bangkok","DMK","Phuket","HKT","2024-09-12T03:55:00.000Z","12/09/2024, 10:55:00",4,"DD522"
"2024-09-11T03:04:15.386Z","Hangzhou","HGH","Phuket","HKT","2024-09-12T08:00:00.000Z","12/09/2024, 15:00:00",4,"CA717"
"2024-09-11T03:04:15.385Z","Shanghai","PVG","Phuket","HKT","2024-09-12T05:10:00.000Z","12/09/2024, 12:10:00",4,"9C8521"
"2024-09-11T03:04:15.388Z","Bangalore","BLR","Phuket","HKT","2024-09-12T04:15:00.000Z","12/09/2024, 11:15:00",4,"6E1077"
"2024-09-11T03:04:15.388Z","New Delhi","DEL","Phuket","HKT","2024-09-12T05:30:00.000Z","12/09/2024, 12:30:00",4,"6E1073"
