"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","departureTimeZulu","departureTimeLocal","departureTimeDayOfWeek","flightNumber"
"2024-09-05T03:02:31.042Z","Bangkok","BKK","Phuket","HKT",,,,"VZ304"
"2024-09-05T03:02:31.044Z","Bangkok","DMK","Phuket","HKT",,,,"SL770"
"2024-09-05T03:02:46.380Z","Bangkok","BKK","Phuket","HKT",,,,"TG203"
"2024-09-05T03:02:46.381Z","Ko Samui (Ko Samui)","USM","Phuket","HKT",,,,"PG405"
"2024-09-05T03:02:46.382Z","Sepang","KUL","Phuket","HKT",,,,"MH794"
"2024-09-05T03:02:46.388Z","Sepang","KUL","Phuket","HKT",,,,"OD540"
"2024-09-05T03:02:46.386Z","Chiang Mai","CNX","Phuket","HKT",,,,"FD3160"
"2024-09-05T03:02:46.388Z","Sepang","KUL","Phuket","HKT",,,,"AK824"
"2024-09-05T03:02:46.384Z","Chiang Mai","CNX","Phuket","HKT",,,,"VZ414"
"2024-09-05T03:02:46.385Z","Bangkok","BKK","Phuket","HKT",,,,"FD4110"
"2024-09-05T03:02:46.390Z","Bangkok","DMK","Phuket","HKT",,,,"FD3025"
"2024-09-05T03:02:46.385Z","Singapore","SIN","Phuket","HKT",,,,"FD377"
"2024-09-05T03:02:46.389Z","Ko Samui (Ko Samui)","USM","Phuket","HKT",,,,"PG253"
"2024-09-05T03:02:46.387Z","Bangkok","BKK","Phuket","HKT",,,,"PG275"
"2024-09-05T03:03:01.732Z","Moscow","DME","Phuket","HKT",,,,"WZ3097"
"2024-09-05T03:03:01.733Z","Singapore","SIN","Phuket","HKT",,,,"3K535"
"2024-09-05T03:03:01.733Z","New Delhi","DEL","Phuket","HKT",,,,"6E1075"
"2024-09-05T03:03:01.735Z","Guangzhou","CAN","Phuket","HKT",,,,"CZ6063"
"2024-09-05T03:03:01.734Z","Changsha","CSX","Phuket","HKT",,,,"BK2983"
"2024-09-05T03:03:01.735Z","Ko Samui (Ko Samui)","USM","Phuket","HKT",,,,"PG255"
"2024-09-05T03:03:01.736Z","Bangkok","BKK","Phuket","HKT",,,,"TG215"
"2024-09-05T03:03:01.737Z","Bangkok","DMK","Phuket","HKT",,,,"FD3005"
"2024-09-05T03:03:01.739Z","Bangkok","BKK","Phuket","HKT",,,,"PG273"
"2024-09-05T03:03:01.738Z","Singapore","SIN","Phuket","HKT",,,,"SQ732"
"2024-09-05T03:03:01.740Z","Bangkok","DMK","Phuket","HKT",,,,"SL756"
"2024-09-05T03:03:01.737Z",,"UTP","Phuket","HKT",,,,"PG281"
"2024-09-05T03:03:01.740Z","Bangkok","BKK","Phuket","HKT",,,,"VZ2300"
"2024-09-05T03:03:17.096Z","Shanghai","PVG","Phuket","HKT",,,,"FM859"
"2024-09-05T03:03:17.101Z","Bangkok","BKK","Phuket","HKT",,,,"TG283"
"2024-09-05T03:03:17.101Z","Bangkok","DMK","Phuket","HKT",,,,"SL768"
"2024-09-05T03:03:17.100Z","Bangkok","DMK","Phuket","HKT",,,,"FD3017"
"2024-09-05T03:03:17.098Z","Singapore","SIN","Phuket","HKT",,,,"SQ736"
"2024-09-05T03:03:17.105Z","Shenzhen","SZX","Phuket","HKT",,,,"ZH315"
"2024-09-05T03:03:17.107Z","Bangkok","DMK","Phuket","HKT",,,,"DD536"
"2024-09-05T03:03:17.104Z","Beijing","PEK","Phuket","HKT",,,,"CA821"
"2024-09-05T03:03:17.104Z","New Delhi","DEL","Phuket","HKT",,,,"AI376"
"2024-09-05T03:03:17.105Z","Chiang Mai","CNX","Phuket","HKT",,,,"FD3162"
"2024-09-05T03:03:17.106Z","Sepang","KUL","Phuket","HKT",,,,"AK826"
"2024-09-05T03:03:17.108Z","Bangkok","DMK","Phuket","HKT",,,,"FD3007"
"2024-09-05T03:03:17.108Z","Chiang Mai","CNX","Phuket","HKT",,,,"PG248"
"2024-09-05T03:03:17.106Z","Bangkok","BKK","Phuket","HKT",,,,"VZ306"
"2024-09-05T03:03:17.103Z","Ko Samui (Ko Samui)","USM","Phuket","HKT",,,,"PG259"
"2024-09-05T03:03:32.549Z","Bangkok","BKK","Phuket","HKT",,,,"TG217"
"2024-09-05T03:03:32.551Z","Singapore","SIN","Phuket","HKT",,,,"TR652"
"2024-09-05T03:03:32.552Z","Kunming","KMG","Phuket","HKT",,,,"MU5093"
"2024-09-05T03:03:32.553Z","Bali/Denpasar","DPS","Phuket","HKT",,,,"QZ246"
"2024-09-05T03:03:32.553Z","Chongqing","CKG","Phuket","HKT",,,,"3U3705"
"2024-09-05T03:03:32.554Z","Bangkok","BKK","Phuket","HKT",,,,"PG277"
"2024-09-05T03:03:32.557Z","Chengdu","TFU","Phuket","HKT",,,,"3U3931"
"2024-09-05T03:03:32.555Z","Sepang","KUL","Phuket","HKT",,,,"OD542"
"2024-09-05T03:03:32.556Z","Doha","DOH","Phuket","HKT",,,,"QR846"
