iata,icao,airport,latitude,longitude
SHJ,OMSJ,Sharjah International Airport,25.3286,55.5172
AZI,OMAD,Al Bateen Executive Airport,24.4283,54.4581
FJR,OMFJ,Fujairah International Airport,25.1122,56.324
XSB,OMBY,Sir Bani Yas Airport,24.2836,52.5803
RKT,OMRK,Ras Al Khaimah International Airport,25.6135,55.9388
DWC,OMDW,Al Maktoum International Airport,24.8964,55.1614
DHF,OMAM,Al Dhafra Air Base,24.2482,54.5477
ZDY,OMDL,Dalma Airport,24.51,52.3352
DCG,,Dubai Creek Seaplane Base,25.2422,55.3314
AYM,,Yas Island Seaplane Base,24.467,54.6103
DJH,,Jebel Ali Seaplane Base,24.989,55.0238
RHR,,Al Hamra Seaplane Base,25.691,55.778
DXB,OMDB,Dubai International Airport,25.2528,55.3644
AAN,OMAL,Al Ain International Airport,24.2617,55.6092
NHD,OMDM,Al Minhad Air Base,25.0268,55.3662
AUH,OMAA,Abu Dhabi International Airport,24.433,54.6511
FAH,OAFR,Farah Airport,32.367,62.183
MMZ,OAMN,Maymana Airport,35.9308,64.7609
OLR,OASL,Forward Operating Base Salerno,33.3638,69.9561
KWH,OAHN,Khwahan Airport,37.883,70.217
SBF,OADS,Sardeh Band Airport,33.3207,68.6365
KBL,OAKB,Hamid Karzai International Airport,34.5659,69.2123
LQN,OAQN,Qala i Naw Airport,34.985,63.1178
FBD,OAFZ,Fayzabad Airport,37.1211,70.5181
KHT,OAKS,Khost Airfield,33.3334,69.952
SGA,OASN,Sheghnan Airport,37.567,71.5
HEA,OAHR,Herat International Airport,34.21,62.2283
GZI,OAGN,Ghazni Airport,33.5312,68.4129
BIN,OABN,Bamyan Airport,34.817,67.817
KDH,OAKN,Kandahar International Airport,31.5058,65.8478
DWR,OADY,Dwyer Airport,31,64
GRG,OAGZ,Gardez Airport,33.6315,69.2394
UND,OAUZ,Kunduz Airport,36.6651,68.9108
BST,OABT,Bost Airport,31.5597,64.365
URZ,OARG,Uruzgan Airport,32.903,66.6309
TII,OATN,Tarinkot Airport,32.6042,65.8658
URN,OAOG,Urgun Airport,32.9318,69.1563
ZAJ,OAZJ,Zaranj Airport,30.9722,61.8658
OAZ,OAZI,Camp Bastion Air Base,31.8638,64.2246
MZR,OAMS,Mazar-e Sharif International Airport,36.7069,67.2097
KUR,OARZ,Razer Airport,37.752,-89.0154
TQN,OATQ,Taloqan Airport,36.7707,69.532
CCN,OACC,Chaghcharan Airport,34.5265,65.271
DAZ,OADZ,Darwaz Airport,38.4611,70.8825
JAA,OAJL,Jalalabad Airport,34.3998,70.4986
OAA,OASH,Forward Operating Base Shank,33.9225,69.0772
OAH,OASD,Shindand Air Base,33.3913,62.261
OAI,OAIX,Bagram Airfield,34.9461,69.265
OAS,OASA,Sharana Airstrip / Forward Operating Base Sharana,33.1258,68.8385
BBQ,TAPH,Barbuda Codrington Airport,17.6358,-61.8286
ANU,TAPA,V. C. Bird International Airport,17.1367,-61.7927
AXA,TQPF,Clayton J. Lloyd International Airport,18.2048,-63.0551
LWN,UDSG,Gyumri Shirak Airport,40.7504,43.8593
EVN,UDYZ,Zvartnots International Airport,40.1473,44.3959
LUO,FNUE,Luena Airport,-11.7681,19.8977
VPE,FNGI,Ondjiva Pereira Airport,-17.0435,15.6838
UGO,FNUG,Uige Airport,-7.60307,15.0278
KNP,FNCP,Kapanda Airport,-9.76937,15.4553
SVP,FNKU,Kuito Airport,-12.4046,16.9474
ARZ,FNZE,N'zeto Airport,-7.25944,12.8631
CTI,FNCV,Cuito Cuanavale Airport,-15.1603,19.1561
MSZ,FNMO,Namibe Airport (Yuri Gagarin Airport),-15.2612,12.1468
SZA,FNSO,Soyo Airport,-6.14109,12.3718
SDD,FNUB,Lubango Mukanka Airport,-14.9247,13.575
PBN,FNPA,Porto Amboim Airport,-10.722,13.7655
CAV,FNCZ,Cazombo Airport,-11.8931,22.9164
MEG,FNMA,Malanje Airport,-9.52509,16.3124
GGC,,Lumbala N'guimbo Airport,-14.105,21.45
